whrswk,hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
0.0,no,no,no,<9years,white,no,27.0,0.0,0.0,0.0,south
25.0,yes,no,yes,12years,white,no,22.0,,,33.0,west
40.0,no,no,no,12years,,no,41.0,0.0,0.0,10.4,northcentral
40.0,no,yes,no,12years,white,no,26.0,0.0,0.0,0.0,south
35.0,yes,yes,yes,16years,black,no,25.0,1.0,1.0,31.0,other
0.0,no,no,no,<9years,white,yes,10.0,1.0,0.0,1.9,other
35.0,no,yes,yes,16years,,no,12.0,0.0,0.0,29.5,other
35.0,yes,no,yes,12years,white,no,29.0,0.0,2.0,90.0,other
0.0,yes,no,yes,9-11years,white,no,22.5,0.0,0.0,37.0,northcentral
0.0,yes,no,yes,9-11years,white,yes,48.5,0.0,0.0,0.0,south
40.0,yes,yes,yes,9-11years,white,no,23.5,0.0,0.0,40.0,other
40.0,yes,yes,yes,12years,white,no,21.0,0.0,2.0,30.0,northcentral
0.0,yes,no,yes,9-11years,white,no,30.5,0.0,1.0,0.0,south
40.0,no,no,no,9-11years,white,no,20.5,0.0,0.0,0.0,south
40.0,no,yes,no,12years,white,no,38.0,,,0.0,south
0.0,no,no,yes,9-11years,white,no,20.5,0.0,0.0,21.0,south
35.0,no,no,no,13-15years,,no,25.0,0.0,2.0,9.999,other
36.0,yes,no,yes,16years,white,no,7.0,0.0,0.0,35.0,other
43.0,no,yes,no,>16years,white,no,7.0,0.0,0.0,12.317,other
0.0,yes,no,yes,13-15years,white,no,19.0,2.0,3.0,62.0,west
60.0,no,yes,no,13-15years,white,no,13.0,0.0,0.0,0.0,south
25.0,yes,no,yes,13-15years,white,no,5.0,0.0,0.0,13.4,west
42.0,no,yes,no,13-15years,white,no,6.0,1.0,0.0,5.3,south
30.0,no,no,no,12years,white,no,10.0,1.0,2.0,7.0,west
40.0,no,yes,no,12years,white,no,35.0,0.0,0.0,2.0,northcentral
40.0,yes,yes,yes,12years,white,no,30.0,,,15.0,northcentral
0.0,yes,no,yes,16years,white,no,38.0,0.0,0.0,0.0,northcentral
38.0,yes,no,yes,12years,white,no,15.0,0.0,2.0,42.0,west
30.0,yes,no,yes,13-15years,white,no,26.0,0.0,0.0,37.0,northcentral
0.0,yes,no,yes,13-15years,white,no,8.0,1.0,1.0,40.0,northcentral
0.0,yes,no,yes,13-15years,white,no,8.0,2.0,0.0,27.0,south
44.0,no,yes,yes,12years,black,no,21.0,0.0,1.0,42.0,south
40.0,no,yes,no,13-15years,white,no,20.0,0.0,0.0,0.0,other
30.0,yes,yes,yes,9-11years,white,no,19.5,1.0,0.0,30.8,other
50.0,no,yes,yes,13-15years,white,no,16.0,0.0,1.0,40.0,south
40.0,no,yes,no,12years,white,no,34.0,0.0,0.0,0.0,other
45.0,yes,no,yes,12years,white,no,21.0,,,53.0,northcentral
40.0,yes,no,yes,16years,white,no,25.0,0.0,1.0,30.0,northcentral
35.0,no,yes,no,13-15years,,no,25.0,0.0,1.0,27.0,other
40.0,no,yes,no,12years,white,no,25.0,0.0,0.0,24.0,west
80.0,no,no,no,13-15years,black,no,22.0,0.0,0.0,45.0,south
35.0,no,yes,yes,12years,white,no,38.0,0.0,0.0,31.2,northcentral
40.0,no,yes,no,12years,,no,14.0,2.0,0.0,30.309,northcentral
40.0,no,yes,no,16years,white,no,26.0,0.0,2.0,0.0,west
35.0,no,yes,no,12years,white,no,14.0,1.0,3.0,24.0,northcentral
10.0,yes,no,yes,12years,other,no,15.0,0.0,3.0,30.0,northcentral
0.0,yes,no,yes,13-15years,white,no,14.0,3.0,0.0,50.0,other
44.0,yes,yes,yes,13-15years,white,no,29.0,,,60.0,northcentral
45.0,yes,no,yes,12years,white,no,26.0,0.0,0.0,42.113,west
0.0,no,no,no,12years,white,no,47.0,0.0,0.0,0.0,other
0.0,no,yes,no,13-15years,white,no,12.0,1.0,2.0,46.8,northcentral
40.0,no,yes,yes,12years,white,no,35.0,0.0,0.0,0.6,other
40.0,yes,no,yes,12years,,no,15.0,2.0,1.0,19.0,west
40.0,yes,no,yes,<9years,,yes,31.0,0.0,2.0,18.0,west
0.0,yes,no,yes,12years,white,no,15.0,0.0,4.0,24.749,south
40.0,no,yes,no,16years,white,no,27.0,0.0,0.0,35.0,west
0.0,no,no,no,12years,white,no,19.0,1.0,2.0,0.0,west
0.0,yes,no,yes,12years,,no,24.0,0.0,0.0,41.96,south
45.0,no,yes,yes,12years,white,no,35.0,0.0,0.0,40.0,south
32.0,no,yes,no,16years,white,no,10.0,0.0,0.0,62.0,northcentral
40.0,yes,no,yes,13-15years,black,no,13.0,0.0,2.0,33.0,other
0.0,yes,no,yes,12years,white,no,19.0,1.0,1.0,72.0,northcentral
0.0,no,no,no,12years,white,no,45.0,,,0.0,south
15.0,no,no,no,13-15years,,no,22.0,0.0,2.0,15.0,other
0.0,yes,no,yes,12years,white,no,39.0,0.0,0.0,62.0,west
0.0,no,no,no,12years,white,no,47.0,0.0,0.0,0.0,west
40.0,no,no,no,12years,,no,8.0,0.0,0.0,15.0,west
50.0,no,yes,no,16years,white,no,14.0,0.0,1.0,24.0,south
0.0,no,no,no,9-11years,white,no,11.5,2.0,1.0,12.0,west
25.0,no,no,no,>16years,white,no,16.0,0.0,2.0,0.0,south
16.0,yes,no,yes,12years,white,no,33.0,0.0,1.0,44.0,south
50.0,no,yes,no,16years,white,no,5.0,0.0,1.0,14.0,northcentral
30.0,yes,no,yes,16years,white,no,15.0,,,49.5,other
0.0,yes,no,yes,12years,,no,37.0,0.0,0.0,27.0,south
0.0,yes,no,yes,16years,white,no,16.0,1.0,2.0,42.0,northcentral
0.0,yes,no,yes,<9years,white,no,14.0,1.0,0.0,16.0,south
0.0,yes,no,yes,9-11years,black,no,35.5,0.0,0.0,16.9,south
0.0,yes,no,yes,>16years,white,no,19.0,,,75.0,other
0.0,yes,no,yes,12years,white,no,38.0,,,99.999,south
0.0,yes,no,yes,12years,,no,43.0,0.0,0.0,63.0,other
0.0,yes,no,yes,16years,white,no,14.0,1.0,2.0,75.0,northcentral
38.0,no,yes,yes,12years,white,no,10.0,0.0,1.0,50.0,south
0.0,yes,no,yes,13-15years,,no,40.0,0.0,0.0,47.0,northcentral
0.0,yes,no,yes,12years,white,no,15.0,2.0,0.0,70.0,other
40.0,yes,no,yes,12years,white,no,35.0,0.0,0.0,15.0,south
30.0,yes,yes,yes,13-15years,white,no,34.0,0.0,0.0,48.0,northcentral
50.0,no,no,no,12years,black,no,21.0,0.0,2.0,1.0,other
0.0,yes,no,yes,12years,white,no,41.0,0.0,0.0,30.0,northcentral
48.0,yes,yes,yes,13-15years,white,no,19.0,0.0,0.0,45.0,northcentral
0.0,no,no,no,12years,white,no,16.0,,,27.071,south
25.0,yes,no,yes,13-15years,white,no,29.0,0.0,0.0,39.0,west
32.0,no,yes,no,12years,white,no,21.0,,,26.2,northcentral
40.0,no,yes,yes,12years,white,no,28.0,0.0,0.0,22.8,northcentral
45.0,yes,yes,yes,>16years,white,no,27.0,0.0,0.0,60.0,northcentral
40.0,no,yes,no,16years,white,no,5.0,1.0,0.0,23.0,other
40.0,yes,no,yes,16years,white,no,24.0,0.0,1.0,50.0,other
45.0,no,yes,no,>16years,white,no,27.0,0.0,0.0,0.0,northcentral
0.0,yes,no,yes,12years,white,no,40.0,0.0,0.0,46.5,northcentral
0.0,no,no,no,13-15years,black,no,27.0,,,15.0,west
16.0,yes,no,yes,13-15years,white,no,29.0,0.0,2.0,62.0,northcentral
0.0,no,no,no,9-11years,white,no,42.5,0.0,0.0,0.0,northcentral
0.0,yes,no,yes,13-15years,white,no,34.0,0.0,0.0,87.0,south
0.0,no,no,no,<9years,white,no,23.0,1.0,4.0,0.0,west
0.0,yes,no,yes,16years,white,no,42.0,0.0,0.0,0.0,south
40.0,no,yes,no,13-15years,white,no,5.0,0.0,0.0,0.0,other
0.0,yes,no,yes,12years,,no,37.0,0.0,0.0,65.0,south
40.0,no,yes,no,12years,white,no,6.0,,,0.0,other
20.0,yes,no,yes,12years,white,no,37.0,0.0,0.0,52.0,south
50.0,no,yes,yes,16years,white,no,9.0,1.0,0.0,70.0,south
20.0,yes,yes,yes,16years,white,no,18.0,1.0,2.0,28.0,west
30.0,yes,no,yes,12years,white,no,18.0,0.0,2.0,39.0,south
45.0,yes,yes,yes,16years,white,no,11.0,0.0,0.0,99.999,south
0.0,no,no,no,<9years,white,no,43.0,0.0,0.0,13.0,other
40.0,no,yes,no,16years,white,no,7.0,0.0,0.0,62.0,other
0.0,yes,no,yes,16years,white,no,15.0,,,70.0,other
15.0,yes,no,yes,>16years,white,no,21.0,0.0,2.0,114.466,northcentral
40.0,no,yes,yes,16years,white,no,11.0,0.0,0.0,48.61,northcentral
10.0,yes,no,yes,12years,,no,22.0,0.0,2.0,24.159,other
40.0,yes,no,yes,13-15years,white,no,35.0,0.0,0.0,35.0,other
8.0,yes,no,yes,12years,white,no,36.0,0.0,0.0,30.0,northcentral
40.0,yes,yes,yes,13-15years,white,no,33.0,0.0,1.0,28.728,northcentral
0.0,yes,no,yes,12years,white,yes,12.0,1.0,0.0,30.0,west
50.0,no,yes,no,16years,,no,41.0,0.0,0.0,0.0,west
0.0,yes,no,yes,12years,white,no,13.0,1.0,0.0,34.0,other
40.0,no,yes,yes,>16years,,no,2.0,0.0,0.0,26.5,other
0.0,yes,no,yes,9-11years,white,no,37.5,0.0,1.0,19.24,south
30.0,no,no,no,12years,black,no,22.0,0.0,2.0,31.0,south
30.0,no,no,no,12years,white,no,17.0,0.0,1.0,0.0,west
0.0,yes,no,yes,12years,white,no,7.0,1.0,0.0,23.0,northcentral
0.0,yes,no,yes,>16years,white,no,22.0,0.0,2.0,80.0,other
40.0,no,no,no,12years,,no,30.0,0.0,0.0,15.0,south
40.0,yes,no,yes,13-15years,white,no,13.0,0.0,0.0,0.0,northcentral
42.0,no,yes,no,>16years,white,no,26.0,0.0,2.0,47.5,northcentral
40.0,no,no,no,16years,white,no,15.0,0.0,2.0,47.0,west
0.0,yes,no,yes,13-15years,black,no,6.0,2.0,1.0,16.9,south
40.0,yes,yes,yes,>16years,black,no,34.0,0.0,1.0,12.0,south
0.0,yes,no,yes,16years,white,no,32.0,0.0,0.0,11.0,south
35.0,no,yes,yes,13-15years,white,no,28.0,0.0,0.0,30.0,other
20.0,no,no,no,16years,white,no,29.0,0.0,2.0,0.0,northcentral
32.0,no,no,no,13-15years,white,no,21.0,0.0,1.0,40.381,west
0.0,yes,no,yes,12years,white,no,18.0,1.0,1.0,19.0,other
37.0,yes,no,yes,12years,,no,12.0,0.0,0.0,54.0,other
40.0,no,yes,no,16years,white,no,10.0,0.0,0.0,0.0,south
40.0,yes,no,yes,12years,white,no,12.0,0.0,0.0,27.0,other
40.0,no,yes,yes,9-11years,white,no,41.5,0.0,1.0,4.853,northcentral
0.0,yes,no,yes,16years,white,no,14.0,0.0,2.0,62.0,other
42.0,yes,no,yes,13-15years,white,no,8.0,0.0,1.0,15.0,northcentral
20.0,yes,no,yes,12years,white,no,15.0,1.0,1.0,30.5,northcentral
0.0,yes,no,yes,12years,white,no,46.0,0.0,0.0,7.0,other
40.0,no,yes,yes,12years,white,no,23.0,0.0,2.0,31.2,northcentral
40.0,no,yes,yes,12years,,no,14.0,1.0,1.0,58.0,south
40.0,yes,no,yes,12years,white,no,8.0,,,13.434,south
5.0,no,no,no,16years,,no,14.0,1.0,3.0,44.5,northcentral
43.0,yes,yes,yes,>16years,white,no,4.0,0.0,0.0,30.0,other
38.0,yes,no,yes,12years,white,no,25.0,0.0,2.0,45.0,south
40.0,no,yes,no,>16years,white,no,27.0,0.0,0.0,2.5,west
0.0,no,no,yes,13-15years,white,no,2.0,0.0,0.0,17.0,northcentral
40.0,yes,yes,yes,12years,white,no,14.0,0.0,2.0,35.0,west
0.0,no,no,no,<9years,white,no,8.0,3.0,0.0,12.8,south
0.0,yes,no,yes,12years,white,no,16.0,1.0,2.0,40.0,other
38.0,no,yes,yes,12years,white,no,21.0,0.0,1.0,31.0,northcentral
0.0,yes,no,yes,12years,white,no,25.0,,,31.0,other
0.0,no,no,no,12years,white,no,46.0,0.0,0.0,5.0,south
0.0,no,no,no,9-11years,other,yes,9.5,0.0,0.0,10.4,northcentral
25.0,yes,no,yes,13-15years,white,no,33.0,0.0,0.0,60.0,west
45.0,yes,no,yes,13-15years,white,no,21.0,,,39.509,northcentral
20.0,yes,yes,yes,16years,white,no,19.0,1.0,0.0,23.0,west
40.0,yes,no,yes,12years,white,no,30.0,0.0,0.0,50.0,west
40.0,yes,no,yes,16years,white,no,11.0,2.0,0.0,26.0,west
20.0,yes,no,yes,13-15years,black,no,8.0,1.0,0.0,40.0,other
50.0,no,yes,no,>16years,white,no,17.0,1.0,0.0,90.0,south
0.0,no,no,no,<9years,white,no,18.0,1.0,1.0,7.0,south
40.0,yes,yes,yes,13-15years,,no,4.0,1.0,0.0,13.0,northcentral
0.0,yes,no,yes,12years,white,no,47.0,,,0.0,west
41.0,no,yes,no,13-15years,white,no,7.0,1.0,0.0,53.0,west
40.0,yes,yes,yes,16years,white,no,26.0,0.0,0.0,58.912,west
40.0,no,yes,no,>16years,white,no,10.0,0.0,0.0,0.0,other
0.0,yes,no,yes,12years,white,no,21.0,1.0,2.0,83.0,other
40.0,yes,no,yes,12years,white,no,35.0,0.0,0.0,47.721,northcentral
12.0,yes,no,yes,>16years,white,no,19.0,1.0,0.0,50.0,other
0.0,yes,no,yes,12years,white,no,18.0,0.0,3.0,25.0,south
40.0,no,yes,no,13-15years,white,no,27.0,0.0,0.0,26.5,south
40.0,no,yes,no,13-15years,white,yes,36.0,0.0,0.0,13.0,south
30.0,no,yes,yes,12years,,no,47.0,,,0.0,south
50.0,no,yes,no,13-15years,white,no,39.0,0.0,0.0,7.9,west
40.0,no,yes,no,<9years,white,yes,39.0,0.0,2.0,9.45,south
40.0,no,yes,no,13-15years,white,no,23.0,0.0,2.0,32.5,south
0.0,no,no,no,12years,white,yes,28.0,0.0,2.0,0.0,west
45.0,no,yes,no,12years,white,yes,39.0,0.0,0.0,0.0,northcentral
40.0,yes,no,yes,9-11years,white,no,7.5,3.0,1.0,30.0,northcentral
35.0,no,yes,yes,12years,white,yes,3.0,0.0,0.0,13.0,south
0.0,no,no,no,13-15years,white,no,22.0,,,0.0,south
10.0,no,no,no,16years,,no,16.0,2.0,0.0,3.0,other
25.0,yes,no,yes,13-15years,white,no,4.0,0.0,0.0,16.0,other
40.0,no,yes,yes,16years,,yes,7.0,1.0,0.0,75.0,south
55.0,no,yes,no,>16years,white,no,17.0,,,0.0,other
40.0,yes,no,yes,16years,white,no,24.0,0.0,0.0,64.5,other
35.0,yes,yes,yes,13-15years,black,no,32.0,0.0,0.0,23.0,other
8.0,yes,no,yes,13-15years,white,no,37.0,0.0,0.0,75.0,northcentral
0.0,yes,no,yes,12years,white,no,11.0,1.0,0.0,40.0,other
0.0,yes,no,yes,<9years,,no,28.0,0.0,0.0,32.0,south
0.0,yes,no,yes,13-15years,,no,40.0,,,60.0,south
40.0,yes,no,yes,12years,white,no,18.0,0.0,1.0,37.0,south
40.0,no,no,no,12years,,no,44.0,0.0,0.0,0.0,northcentral
0.0,no,no,no,9-11years,black,no,19.5,,,17.4,south
40.0,no,no,no,12years,white,no,21.0,1.0,0.0,10.0,south
0.0,yes,no,yes,13-15years,white,no,30.0,0.0,0.0,55.0,west
0.0,no,no,yes,13-15years,white,no,38.0,0.0,0.0,44.408,west
0.0,no,no,no,9-11years,white,no,48.5,0.0,0.0,0.0,other
40.0,no,yes,yes,16years,white,no,20.0,0.0,1.0,40.481,south
40.0,no,yes,yes,16years,white,no,6.0,0.0,0.0,67.0,other
0.0,no,no,no,13-15years,white,no,32.0,0.0,0.0,0.0,west
0.0,yes,no,yes,16years,white,no,16.0,1.0,2.0,75.0,other
50.0,no,yes,yes,>16years,,no,21.0,0.0,1.0,90.0,south
40.0,no,yes,no,12years,white,no,30.0,0.0,0.0,3.584,south
26.0,yes,no,yes,16years,white,no,25.0,1.0,1.0,66.391,west
0.0,yes,no,yes,13-15years,white,no,36.0,0.0,0.0,25.0,south
40.0,yes,yes,yes,16years,white,no,9.0,1.0,0.0,18.0,south
0.0,yes,no,yes,>16years,white,no,21.0,0.0,1.0,99.999,south
30.0,yes,no,yes,12years,white,no,17.0,1.0,1.0,13.0,northcentral
0.0,yes,no,yes,16years,white,no,30.0,,,54.39,northcentral
40.0,yes,no,yes,13-15years,,no,18.0,0.0,2.0,44.0,west
0.0,yes,no,yes,16years,white,no,11.0,3.0,0.0,99.999,south
35.0,no,yes,yes,16years,white,no,2.0,0.0,0.0,22.89,northcentral
30.0,no,no,no,12years,white,no,32.0,0.0,0.0,0.0,south
40.0,no,no,yes,12years,,no,23.0,1.0,0.0,8.0,west
35.0,yes,no,yes,>16years,white,no,28.0,0.0,0.0,129.999,other
37.0,no,yes,no,12years,,no,23.0,0.0,0.0,60.0,south
20.0,no,no,no,13-15years,white,no,1.0,,,12.0,northcentral
45.0,yes,no,yes,16years,white,no,18.0,,,36.75,northcentral
0.0,yes,no,yes,13-15years,white,no,26.0,0.0,0.0,12.0,northcentral
40.0,yes,no,yes,12years,white,no,24.0,0.0,2.0,41.558,other
0.0,yes,no,yes,12years,white,no,41.0,,,52.0,northcentral
0.0,no,no,no,16years,black,no,11.0,1.0,1.0,43.0,other
30.0,no,yes,yes,13-15years,white,no,27.0,,,59.9,south
20.0,no,no,no,12years,white,no,44.0,0.0,0.0,0.0,northcentral
30.0,yes,no,yes,12years,white,no,20.0,1.0,2.0,20.0,west
40.0,no,yes,yes,13-15years,black,yes,24.0,0.0,2.0,30.0,other
0.0,yes,no,yes,12years,white,no,46.0,0.0,0.0,0.0,other
40.0,yes,no,yes,16years,white,no,11.0,2.0,0.0,33.0,south
60.0,yes,no,yes,16years,white,no,28.0,0.0,0.0,52.0,west
40.0,no,yes,no,12years,white,no,40.0,0.0,0.0,0.0,south
15.0,yes,no,yes,16years,white,yes,17.0,,,26.0,other
56.0,yes,yes,yes,12years,black,no,21.0,0.0,0.0,46.066,other
36.0,no,no,no,12years,white,no,10.0,1.0,1.0,22.0,west
0.0,no,no,no,12years,white,yes,10.0,2.0,2.0,0.0,other
45.0,no,yes,yes,>16years,white,no,20.0,,,80.0,west
30.0,no,no,no,13-15years,white,no,10.0,0.0,0.0,23.0,other
40.0,yes,no,yes,13-15years,white,no,11.0,0.0,2.0,32.5,south
40.0,no,yes,no,13-15years,white,no,12.0,1.0,2.0,29.0,northcentral
0.0,yes,no,yes,12years,white,no,35.0,0.0,0.0,17.0,south
40.0,no,yes,yes,16years,white,no,5.0,0.0,0.0,24.0,northcentral
40.0,no,no,no,16years,,no,13.0,0.0,0.0,0.0,northcentral
0.0,yes,no,yes,12years,white,no,37.0,0.0,0.0,42.0,northcentral
0.0,yes,no,yes,>16years,white,no,15.0,1.0,2.0,65.0,other
40.0,no,yes,no,>16years,white,no,20.0,,,16.0,south
0.0,no,no,no,12years,white,no,9.0,,,0.0,south
0.0,no,no,no,16years,white,no,13.0,2.0,0.0,48.0,south
24.0,no,no,no,>16years,white,no,20.0,0.0,0.0,0.0,other
35.0,yes,no,yes,12years,white,no,7.0,0.0,0.0,23.0,south
0.0,yes,no,yes,12years,,no,17.0,0.0,1.0,99.999,west
40.0,yes,yes,yes,13-15years,white,yes,33.0,0.0,1.0,33.0,west
0.0,no,no,no,12years,white,no,31.0,0.0,0.0,0.0,west
35.0,no,yes,yes,16years,,no,13.0,1.0,0.0,12.0,other
0.0,yes,no,yes,12years,white,no,14.0,1.0,1.0,30.175,south
0.0,no,no,no,9-11years,white,no,35.5,,,0.0,northcentral
30.0,yes,no,yes,>16years,white,no,28.0,0.0,0.0,0.0,other
0.0,no,no,no,13-15years,white,no,26.0,1.0,1.0,0.0,other
30.0,yes,no,yes,12years,white,no,15.0,1.0,2.0,36.0,northcentral
45.0,yes,no,yes,13-15years,,no,26.0,0.0,1.0,35.925,northcentral
25.0,no,no,no,13-15years,,yes,11.0,0.0,1.0,19.0,south
0.0,no,no,no,12years,white,no,11.0,1.0,1.0,0.0,northcentral
46.0,no,yes,no,>16years,white,no,21.0,0.0,0.0,0.0,other
48.0,yes,no,yes,9-11years,white,no,23.5,1.0,1.0,30.0,west
20.0,no,no,no,16years,white,no,20.0,0.0,2.0,25.671,south
38.0,no,no,no,16years,white,no,8.0,0.0,0.0,10.0,other
35.0,yes,no,yes,9-11years,white,no,16.5,0.0,1.0,21.9,south
40.0,no,yes,yes,16years,white,no,5.0,0.0,0.0,20.0,other
40.0,no,yes,yes,12years,white,no,8.0,1.0,2.0,17.0,south
40.0,yes,no,yes,16years,white,no,8.0,2.0,1.0,34.0,northcentral
0.0,no,no,no,12years,white,no,45.0,0.0,0.0,0.0,northcentral
40.0,yes,no,yes,13-15years,white,no,15.0,0.0,2.0,30.0,other
40.0,yes,no,yes,13-15years,white,no,24.0,0.0,1.0,30.0,south
0.0,yes,no,yes,12years,white,no,37.0,0.0,0.0,40.0,other
40.0,yes,no,yes,16years,white,no,7.0,0.0,0.0,32.0,south
30.0,yes,no,yes,9-11years,white,no,7.5,2.0,1.0,5.496,northcentral
40.0,yes,no,yes,13-15years,white,no,7.0,,,32.0,west
50.0,no,yes,no,16years,white,no,24.0,,,80.0,northcentral
40.0,no,no,yes,13-15years,,no,2.0,,,60.0,south
40.0,yes,no,yes,12years,white,no,38.0,0.0,0.0,31.081,south
0.0,no,no,yes,9-11years,black,no,46.5,,,60.0,northcentral
40.0,no,yes,no,12years,black,no,41.0,0.0,0.0,0.0,south
0.0,yes,no,yes,12years,white,no,37.0,0.0,0.0,16.0,other
35.0,no,no,no,13-15years,white,no,20.0,,,2.0,other
30.0,no,no,no,12years,white,no,27.0,0.0,0.0,23.0,northcentral
0.0,no,yes,no,12years,white,no,32.0,,,0.0,other
45.0,no,yes,no,>16years,white,no,20.0,2.0,0.0,12.5,south
40.0,no,no,no,13-15years,white,no,1.0,0.0,0.0,21.0,south
0.0,no,no,no,13-15years,white,no,3.0,1.0,0.0,10.0,west
0.0,yes,no,yes,12years,white,yes,32.0,0.0,0.0,99.999,south
40.0,no,yes,no,13-15years,white,no,18.0,,,0.0,northcentral
36.0,no,yes,no,16years,white,no,15.0,1.0,3.0,0.0,other
15.0,yes,no,yes,>16years,white,no,24.0,0.0,0.0,35.0,other
40.0,no,no,no,12years,white,no,31.0,0.0,0.0,75.0,other
40.0,no,yes,yes,<9years,white,no,30.0,0.0,0.0,18.0,south
60.0,no,no,no,12years,white,no,17.0,0.0,2.0,57.0,south
40.0,no,no,no,12years,,no,32.0,,,8.7,northcentral
40.0,no,yes,yes,13-15years,black,no,33.0,0.0,0.0,22.0,other
0.0,no,no,no,<9years,white,no,21.0,1.0,0.0,10.47,other
15.0,yes,no,yes,12years,white,no,22.0,0.0,2.0,44.0,northcentral
60.0,yes,no,yes,16years,white,no,31.0,0.0,0.0,88.0,west
40.0,no,yes,no,12years,white,no,10.0,1.0,0.0,33.0,other
0.0,no,no,yes,9-11years,white,no,38.5,0.0,0.0,0.0,west
0.0,no,no,no,<9years,white,no,15.0,1.0,3.0,0.388,south
0.0,no,yes,no,13-15years,white,no,41.0,0.0,0.0,42.0,northcentral
40.0,no,yes,yes,12years,white,no,9.0,0.0,0.0,16.0,northcentral
20.0,no,yes,no,>16years,white,no,16.0,0.0,2.0,0.0,other
40.0,no,no,no,9-11years,white,yes,10.5,0.0,2.0,25.0,west
35.0,no,yes,yes,12years,white,no,12.0,,,54.0,northcentral
10.0,no,no,no,16years,white,no,3.0,,,8.4,south
40.0,no,yes,yes,>16years,white,no,8.0,,,46.0,other
50.0,no,yes,no,13-15years,white,no,24.0,0.0,1.0,1.2,northcentral
20.0,yes,no,yes,12years,white,no,14.0,2.0,0.0,36.0,west
40.0,no,yes,no,12years,,no,14.0,1.0,0.0,13.518,other
0.0,no,no,no,9-11years,white,yes,16.5,0.0,3.0,6.0,south
18.0,no,yes,no,16years,white,no,16.0,0.0,2.0,99.999,south
0.0,yes,no,yes,12years,white,no,26.0,0.0,1.0,31.8,south
40.0,no,yes,no,13-15years,,no,24.0,0.0,1.0,35.0,west
40.0,yes,no,yes,12years,white,no,30.0,0.0,0.0,20.0,south
40.0,no,yes,yes,13-15years,white,no,3.0,0.0,0.0,25.0,south
23.0,no,no,no,13-15years,white,no,21.0,0.0,3.0,1.543,other
26.0,yes,no,yes,>16years,black,no,16.0,0.0,2.0,18.0,northcentral
40.0,no,yes,no,>16years,white,no,24.0,0.0,0.0,39.0,south
35.0,no,no,no,13-15years,white,no,2.0,0.0,0.0,0.0,other
40.0,yes,no,yes,16years,white,no,20.0,0.0,2.0,40.54,south
0.0,yes,no,yes,16years,white,no,16.0,1.0,1.0,50.0,other
35.0,no,yes,no,13-15years,white,no,35.0,0.0,0.0,0.0,west
0.0,yes,no,yes,13-15years,white,no,23.0,0.0,5.0,99.999,west
0.0,yes,no,yes,12years,white,no,46.0,0.0,0.0,15.0,south
15.0,no,no,no,<9years,white,yes,22.0,1.0,2.0,0.0,south
40.0,no,no,yes,12years,,no,3.0,0.0,0.0,10.0,northcentral
0.0,no,no,no,<9years,white,yes,26.0,2.0,0.0,0.0,south
40.0,no,yes,no,9-11years,white,no,37.5,0.0,0.0,21.0,south
0.0,no,no,no,12years,white,yes,22.0,1.0,0.0,28.0,south
40.0,yes,yes,yes,12years,white,no,23.0,0.0,2.0,27.2,other
40.0,no,yes,no,12years,white,no,44.0,0.0,0.0,0.0,other
0.0,yes,no,yes,13-15years,,no,14.0,1.0,1.0,30.0,other
