hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
yes,no,yes,13-15years,,no,9.0,1.0,0.0,11.102,south
no,no,no,9-11years,white,no,20.5,,,0.0,northcentral
yes,no,yes,13-15years,other,no,25.0,,,32.269,south
yes,no,yes,13-15years,white,no,29.0,0.0,1.0,45.0,west
yes,yes,yes,12years,white,no,23.0,0.0,4.0,60.0,northcentral
yes,no,yes,12years,white,no,5.0,2.0,0.0,23.0,other
no,no,no,13-15years,white,no,42.0,0.0,0.0,2.0,northcentral
yes,no,yes,12years,white,no,25.0,0.0,2.0,21.0,northcentral
yes,no,yes,<9years,white,yes,14.0,1.0,0.0,6.0,northcentral
yes,no,yes,12years,white,no,11.0,1.0,0.0,20.0,other
yes,yes,yes,>16years,,yes,21.0,0.0,0.0,57.3,south
yes,no,yes,12years,white,no,7.0,1.0,0.0,26.615,northcentral
no,yes,no,16years,white,no,36.0,,,35.0,other
no,yes,no,>16years,white,no,38.0,,,0.0,south
no,no,no,13-15years,white,no,23.0,1.0,0.0,99.999,other
no,no,yes,12years,white,no,22.0,0.0,0.0,27.0,west
no,yes,yes,16years,white,no,5.0,,,27.0,northcentral
no,no,no,12years,black,no,25.0,0.0,0.0,1.02,south
yes,no,yes,13-15years,white,no,13.0,2.0,0.0,32.0,other
yes,yes,yes,13-15years,white,no,7.0,,,55.0,northcentral
yes,yes,yes,12years,,no,17.0,0.0,1.0,24.0,northcentral
yes,yes,yes,12years,white,no,35.0,0.0,0.0,33.0,west
yes,no,yes,12years,white,no,17.0,1.0,2.0,22.88,other
no,no,no,12years,white,yes,15.0,1.0,1.0,18.5,northcentral
yes,no,yes,12years,,no,7.0,2.0,1.0,9.6,northcentral
no,yes,no,13-15years,white,yes,10.0,0.0,2.0,33.0,other
yes,no,yes,12years,white,no,7.0,2.0,0.0,23.0,west
yes,no,yes,13-15years,white,no,28.0,0.0,0.0,40.0,other
yes,no,yes,>16years,white,no,34.0,0.0,0.0,48.0,south
yes,no,yes,12years,white,no,35.0,0.0,0.0,32.0,northcentral
no,yes,yes,12years,white,no,28.0,0.0,0.0,40.106,other
no,yes,yes,16years,white,no,20.0,0.0,2.0,2.0,west
yes,no,yes,12years,white,no,24.0,0.0,1.0,30.0,northcentral
no,no,no,<9years,white,no,18.0,0.0,2.0,0.0,south
no,no,no,9-11years,white,no,11.5,1.0,1.0,10.4,northcentral
no,yes,no,12years,white,no,13.0,0.0,0.0,3.0,other
yes,no,yes,12years,white,no,11.0,2.0,0.0,53.849,northcentral
yes,no,yes,>16years,black,no,27.0,0.0,1.0,48.0,south
yes,yes,yes,13-15years,white,no,19.0,1.0,2.0,26.0,northcentral
no,yes,no,9-11years,white,no,34.5,0.0,0.0,33.0,south
yes,no,yes,13-15years,white,no,18.0,1.0,1.0,88.0,west
no,no,yes,13-15years,white,no,32.0,0.0,0.0,37.0,northcentral
no,yes,yes,16years,white,no,42.0,0.0,0.0,68.0,south
yes,no,yes,12years,white,no,11.0,0.0,0.0,24.0,northcentral
no,yes,no,13-15years,white,no,42.0,0.0,0.0,34.0,northcentral
yes,no,yes,13-15years,black,no,6.0,,,23.317,south
no,yes,no,>16years,,no,17.0,0.0,0.0,0.0,south
yes,no,yes,13-15years,,no,17.0,0.0,2.0,42.6,south
yes,no,yes,16years,white,no,35.0,0.0,0.0,0.0,west
no,yes,yes,16years,white,no,3.0,0.0,0.0,20.0,south
yes,no,yes,16years,white,no,10.0,0.0,2.0,58.0,other
no,yes,no,12years,white,no,43.0,0.0,2.0,0.3,northcentral
no,yes,yes,13-15years,white,no,7.0,0.0,0.0,20.8,other
yes,no,yes,12years,white,yes,45.0,0.0,0.0,19.38,other
yes,no,yes,13-15years,white,no,25.0,0.0,2.0,61.0,other
yes,no,yes,<9years,white,no,30.0,,,27.0,other
no,no,no,13-15years,white,no,15.0,5.0,0.0,8.952,west
no,no,no,13-15years,black,no,27.0,,,0.0,south
no,yes,yes,12years,white,no,45.0,0.0,0.0,2.925,northcentral
no,no,no,9-11years,white,no,24.5,0.0,3.0,0.22,other
no,yes,no,12years,white,no,9.0,1.0,0.0,24.5,northcentral
no,no,no,12years,white,no,44.0,0.0,0.0,0.0,other
no,yes,yes,12years,white,no,15.0,0.0,2.0,30.0,south
no,yes,yes,13-15years,white,no,21.0,,,30.0,northcentral
no,no,no,13-15years,,no,30.0,0.0,0.0,9.0,south
no,no,no,13-15years,white,no,31.0,0.0,1.0,18.0,south
no,yes,yes,16years,,no,39.0,0.0,0.0,40.0,northcentral
no,no,no,13-15years,white,no,1.0,,,13.0,south
no,yes,yes,12years,white,no,22.0,0.0,2.0,29.7,west
no,yes,no,9-11years,white,yes,34.5,0.0,1.0,26.0,west
no,yes,no,13-15years,white,no,41.0,0.0,0.0,16.0,south
no,yes,no,12years,white,no,15.0,0.0,0.0,20.0,west
no,no,no,13-15years,other,no,19.0,0.0,4.0,4.16,northcentral
yes,no,yes,12years,white,no,28.0,0.0,0.0,78.0,west
yes,no,yes,12years,white,no,24.0,0.0,0.0,2.0,west
yes,no,yes,<9years,white,yes,38.0,0.0,2.0,22.5,south
yes,yes,yes,16years,white,no,32.0,0.0,0.0,42.0,west
yes,no,yes,16years,white,no,18.0,0.0,1.0,99.999,other
yes,no,yes,12years,white,no,37.0,0.0,0.0,75.0,west
yes,yes,yes,12years,white,no,13.0,0.0,0.0,36.0,west
no,yes,no,13-15years,white,no,10.0,1.0,0.0,19.08,northcentral
yes,no,yes,13-15years,white,no,43.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,white,no,21.0,0.0,1.0,0.0,south
yes,yes,yes,13-15years,white,no,10.0,1.0,1.0,40.22,northcentral
yes,no,yes,12years,white,no,34.0,0.0,1.0,45.0,other
yes,no,yes,13-15years,white,no,10.0,,,49.0,other
no,yes,no,16years,white,yes,31.0,,,28.0,northcentral
yes,no,yes,12years,white,no,14.0,1.0,1.0,40.0,northcentral
yes,no,yes,16years,white,no,27.0,0.0,0.0,37.0,northcentral
no,yes,no,12years,white,no,46.0,,,0.0,northcentral
yes,yes,yes,12years,white,no,47.0,,,0.0,other
no,yes,no,>16years,white,no,11.0,0.0,0.0,30.0,other
yes,no,yes,12years,black,no,12.0,1.0,1.0,51.0,other
yes,yes,yes,13-15years,,no,9.0,,,38.0,northcentral
yes,no,yes,12years,black,no,26.0,0.0,0.0,25.0,south
no,no,no,12years,black,no,9.0,0.0,3.0,10.5,northcentral
no,yes,no,13-15years,white,no,19.0,1.0,1.0,58.0,west
yes,no,yes,13-15years,,no,28.0,0.0,0.0,44.0,other
no,no,no,13-15years,white,no,24.0,0.0,1.0,99.999,west
no,yes,yes,12years,white,no,26.0,0.0,0.0,39.0,west
yes,yes,yes,12years,white,no,24.0,,,30.0,northcentral
yes,yes,yes,12years,white,no,13.0,1.0,1.0,20.0,other
yes,no,yes,12years,white,no,47.0,0.0,0.0,25.0,northcentral
yes,no,yes,12years,white,no,24.0,,,32.0,west
yes,no,yes,12years,white,no,13.0,3.0,1.0,90.0,other
no,yes,no,12years,white,no,47.0,0.0,0.0,0.5,northcentral
no,yes,yes,>16years,white,no,12.0,,,13.104,south
no,no,no,<9years,white,no,33.0,0.0,3.0,0.0,south
no,no,no,16years,white,no,21.0,0.0,4.0,20.28,other
yes,no,yes,12years,white,no,43.0,,,52.0,northcentral
yes,no,yes,16years,white,no,12.0,,,0.0,other
no,yes,yes,16years,white,no,31.0,0.0,0.0,47.0,other
no,yes,no,12years,white,no,7.0,1.0,0.0,36.0,west
no,yes,no,13-15years,white,no,25.0,0.0,2.0,50.0,other
yes,yes,yes,13-15years,,no,11.0,1.0,0.0,16.5,south
no,no,no,12years,white,no,42.0,0.0,0.0,0.0,other
no,no,no,9-11years,white,no,2.5,0.0,0.0,6.0,west
no,no,no,<9years,white,yes,20.0,1.0,1.0,10.0,west
no,yes,no,12years,,no,29.0,,,19.0,west
yes,yes,yes,9-11years,white,no,31.5,0.0,2.0,0.0,west
no,yes,no,12years,white,no,25.0,0.0,1.0,0.0,south
yes,no,yes,13-15years,white,no,17.0,1.0,1.0,99.999,northcentral
yes,yes,yes,13-15years,white,no,26.0,0.0,1.0,40.0,other
yes,no,yes,13-15years,white,yes,17.0,0.0,2.0,49.0,northcentral
no,yes,no,13-15years,white,no,17.0,,,0.0,west
yes,no,yes,12years,white,no,17.0,,,22.9,northcentral
no,yes,no,16years,white,yes,22.0,0.0,2.0,6.0,other
yes,no,yes,13-15years,white,no,19.0,0.0,2.0,60.0,other
yes,yes,yes,12years,white,no,34.0,,,40.0,northcentral
yes,no,yes,12years,white,no,27.0,,,32.0,south
no,no,yes,12years,white,no,24.0,,,32.5,northcentral
yes,yes,yes,13-15years,white,no,28.0,1.0,0.0,52.0,west
yes,no,yes,<9years,white,yes,23.0,2.0,1.0,26.0,northcentral
yes,no,yes,12years,white,no,20.0,0.0,2.0,42.0,northcentral
yes,yes,yes,13-15years,white,no,18.0,0.0,2.0,0.0,west
no,yes,yes,12years,white,no,28.0,0.0,0.0,62.0,south
yes,no,yes,9-11years,white,no,44.5,0.0,0.0,46.0,northcentral
no,yes,no,16years,white,no,15.0,0.0,0.0,22.0,south
no,yes,yes,13-15years,white,no,32.0,0.0,0.0,28.0,other
yes,no,yes,12years,white,no,46.0,0.0,0.0,0.0,northcentral
yes,yes,yes,13-15years,white,no,16.0,0.0,3.0,37.0,south
no,yes,no,16years,white,no,27.0,,,0.0,other
no,no,no,12years,black,no,14.0,,,0.0,other
no,yes,no,13-15years,white,no,23.0,2.0,1.0,0.0,west
no,no,no,12years,,no,12.0,1.0,1.0,1.1,west
no,yes,no,>16years,black,no,15.0,1.0,1.0,33.0,south
yes,no,yes,>16years,white,no,27.0,0.0,0.0,52.0,other
no,yes,no,16years,white,no,28.0,0.0,1.0,0.0,west
yes,no,yes,12years,,no,30.0,0.0,0.0,31.0,south
yes,yes,yes,13-15years,white,no,7.0,0.0,0.0,44.0,northcentral
no,no,no,12years,white,no,39.0,0.0,0.0,99.999,south
yes,no,yes,13-15years,,no,32.0,0.0,0.0,37.0,south
yes,no,yes,13-15years,white,no,27.0,0.0,1.0,25.384,northcentral
yes,no,yes,13-15years,white,no,17.0,0.0,4.0,35.5,west
yes,no,yes,16years,white,no,14.0,1.0,0.0,31.525,south
yes,yes,yes,16years,white,no,8.0,2.0,0.0,22.1,northcentral
no,yes,no,<9years,white,yes,47.0,0.0,0.0,36.0,west
yes,no,yes,16years,white,no,18.0,0.0,3.0,33.0,northcentral
no,no,no,12years,white,no,10.0,1.0,0.0,0.0,south
yes,no,yes,>16years,white,no,16.0,0.0,2.0,85.0,other
no,no,no,<9years,white,yes,25.0,0.0,2.0,18.2,northcentral
no,yes,no,>16years,white,no,16.0,,,0.0,south
no,yes,no,>16years,white,no,20.0,0.0,0.0,51.0,northcentral
no,no,no,16years,black,no,22.0,0.0,0.0,26.0,south
no,no,no,12years,white,no,25.0,,,23.4,south
yes,yes,yes,12years,white,no,19.0,0.0,2.0,18.0,south
yes,no,yes,12years,white,no,46.0,0.0,0.0,0.0,south
yes,no,yes,13-15years,white,no,18.0,0.0,0.0,43.6,other
yes,no,yes,9-11years,white,no,21.5,0.0,1.0,26.88,south
yes,no,yes,12years,black,no,17.0,0.0,2.0,0.0,other
yes,no,yes,16years,white,no,13.0,1.0,0.0,80.0,other
yes,yes,yes,13-15years,,no,20.0,1.0,2.0,45.0,northcentral
no,no,no,12years,white,no,29.0,,,0.0,other
no,yes,no,12years,white,no,38.0,0.0,0.0,8.3,south
no,yes,yes,12years,white,no,7.0,0.0,0.0,36.0,south
yes,no,yes,13-15years,white,no,1.0,,,11.5,other
yes,no,yes,12years,white,no,33.0,0.0,0.0,39.0,west
yes,no,yes,12years,white,no,38.0,0.0,0.0,27.0,south
no,no,no,13-15years,white,no,5.0,0.0,0.0,15.0,west
no,no,no,12years,white,yes,46.0,0.0,0.0,0.0,west
no,no,no,13-15years,white,no,41.0,0.0,0.0,2.0,west
no,yes,yes,12years,,no,20.0,,,16.8,northcentral
no,no,no,>16years,white,no,8.0,1.0,0.0,7.4,northcentral
no,no,no,12years,white,no,46.0,0.0,0.0,2.949,northcentral
no,no,no,9-11years,white,no,44.5,0.0,0.0,5.0,south
no,no,yes,13-15years,white,yes,0.0,1.0,0.0,40.0,west
no,no,no,9-11years,white,no,39.5,0.0,0.0,38.0,west
yes,no,yes,13-15years,,no,19.0,0.0,3.0,30.0,other
yes,no,yes,9-11years,,no,17.5,0.0,2.0,21.6,south
yes,yes,yes,13-15years,white,no,23.0,0.0,1.0,46.0,west
yes,no,yes,12years,white,no,41.0,0.0,0.0,0.0,other
no,yes,yes,>16years,white,no,17.0,0.0,0.0,7.38,west
no,no,yes,12years,white,no,8.0,1.0,0.0,28.0,west
no,no,no,12years,white,no,38.0,0.0,0.0,0.0,other
no,yes,no,12years,white,no,9.0,2.0,0.0,24.0,west
yes,no,yes,>16years,white,no,21.0,1.0,2.0,15.0,west
yes,no,yes,13-15years,white,no,39.0,0.0,0.0,65.0,south
no,yes,no,12years,white,no,29.0,0.0,0.0,0.0,other
yes,no,yes,12years,black,no,15.0,2.0,1.0,26.0,west
yes,yes,yes,12years,white,no,17.0,1.0,0.0,31.0,south
no,yes,no,13-15years,white,no,38.0,0.0,0.0,0.0,other
no,no,no,13-15years,,no,32.0,0.0,0.0,0.0,west
yes,no,yes,13-15years,white,no,43.0,0.0,0.0,0.0,other
no,yes,no,12years,white,no,31.0,0.0,0.0,0.0,northcentral
yes,no,yes,12years,white,no,28.0,0.0,0.0,43.175,northcentral
no,no,no,9-11years,white,no,47.5,0.0,0.0,6.0,south
yes,no,yes,12years,white,no,13.0,1.0,0.0,22.0,west
yes,yes,yes,13-15years,white,no,3.0,,,42.0,west
yes,no,yes,12years,white,yes,19.0,1.0,2.0,37.08,south
no,yes,no,9-11years,black,no,35.5,0.0,0.0,7.0,other
no,no,no,9-11years,white,no,39.5,,,0.0,other
yes,no,yes,9-11years,white,no,31.5,,,21.0,south
yes,yes,yes,12years,black,no,20.0,2.0,0.0,16.0,south
yes,no,yes,12years,white,no,26.0,1.0,1.0,50.0,west
no,yes,yes,12years,black,no,33.0,0.0,1.0,49.0,other
yes,no,yes,13-15years,white,no,38.0,,,0.0,south
yes,no,yes,16years,white,no,15.0,2.0,2.0,85.0,south
no,yes,no,>16years,white,no,25.0,0.0,0.0,17.0,south
no,yes,no,12years,white,no,18.0,0.0,1.0,0.0,northcentral
no,yes,yes,16years,,no,13.0,0.0,0.0,28.0,west
no,yes,no,16years,white,no,20.0,0.0,0.0,0.0,other
no,no,no,9-11years,white,no,26.5,0.0,0.0,0.0,west
no,yes,no,9-11years,white,yes,23.5,0.0,2.0,14.0,other
no,no,no,12years,white,no,26.0,0.0,0.0,56.784,south
yes,yes,yes,16years,,no,24.0,0.0,2.0,50.0,west
yes,no,yes,12years,black,no,26.0,0.0,2.0,30.0,south
yes,yes,yes,>16years,white,no,31.0,0.0,0.0,52.0,south
yes,yes,yes,12years,white,no,7.0,0.0,2.0,30.0,west
no,no,no,13-15years,white,no,45.0,0.0,0.0,0.0,other
no,no,yes,9-11years,white,no,46.5,,,0.0,south
yes,no,yes,12years,white,no,11.0,0.0,0.0,25.0,northcentral
no,yes,no,12years,white,no,6.0,,,20.0,other
yes,yes,yes,16years,white,no,9.0,2.0,0.0,33.0,south
no,no,no,16years,white,no,11.0,1.0,0.0,40.5,other
no,no,no,9-11years,white,no,40.5,0.0,0.0,20.723,south
yes,no,yes,12years,white,no,38.0,0.0,1.0,32.0,other
no,yes,no,12years,,no,38.0,0.0,1.0,0.0,other
no,no,no,<9years,white,no,48.0,0.0,0.0,0.0,northcentral
no,yes,no,12years,white,no,12.0,0.0,0.0,19.0,south
no,no,no,9-11years,white,no,28.5,0.0,0.0,45.0,other
yes,no,yes,12years,white,no,36.0,0.0,0.0,27.0,northcentral
no,no,no,13-15years,white,no,36.0,0.0,0.0,0.0,south
no,yes,no,13-15years,white,no,16.0,1.0,4.0,19.0,south
no,no,no,12years,,yes,47.0,0.0,0.0,0.0,south
no,no,no,16years,white,no,11.0,0.0,0.0,29.12,west
no,yes,no,>16years,white,no,17.0,0.0,2.0,44.0,northcentral
no,no,no,13-15years,white,no,17.0,1.0,1.0,84.0,west
no,yes,no,12years,white,no,27.0,,,14.0,northcentral
yes,no,yes,12years,,no,39.0,0.0,0.0,30.0,other
yes,no,yes,12years,white,no,17.0,0.0,3.0,29.0,west
yes,no,yes,13-15years,white,no,42.0,0.0,0.0,0.0,northcentral
no,yes,no,13-15years,white,no,6.0,2.0,0.0,0.0,west
yes,no,yes,12years,white,no,10.0,2.0,0.0,46.0,south
no,yes,yes,12years,white,no,35.0,0.0,0.0,16.0,northcentral
no,no,no,13-15years,,no,27.0,0.0,1.0,0.0,northcentral
no,no,no,16years,white,no,8.0,1.0,1.0,25.0,west
no,yes,yes,13-15years,white,no,19.0,0.0,3.0,22.0,other
yes,no,yes,>16years,white,no,3.0,0.0,0.0,35.0,other
no,yes,no,16years,,no,20.0,,,27.0,south
no,yes,no,<9years,white,no,44.0,,,0.0,south
yes,no,yes,13-15years,white,no,20.0,1.0,5.0,42.2,west
yes,no,yes,13-15years,white,no,11.0,1.0,0.0,19.653,west
yes,no,yes,12years,white,no,40.0,0.0,0.0,52.0,other
no,yes,no,13-15years,,no,22.0,0.0,1.0,10.0,south
no,no,no,9-11years,white,no,42.5,0.0,0.0,6.0,northcentral
no,no,no,16years,white,no,30.0,0.0,0.0,0.0,northcentral
yes,no,yes,12years,white,no,34.0,0.0,0.0,80.96,other
yes,no,yes,13-15years,white,no,13.0,0.0,3.0,20.0,other
no,no,no,12years,white,no,40.0,0.0,0.0,0.0,northcentral
no,yes,no,16years,white,no,21.0,0.0,2.0,43.015,northcentral
no,no,no,12years,white,no,38.0,0.0,0.0,0.0,northcentral
no,yes,no,12years,black,no,26.0,0.0,1.0,45.0,other
yes,no,yes,12years,white,no,8.0,2.0,0.0,25.0,northcentral
no,no,no,13-15years,white,no,14.0,1.0,2.0,57.0,west
no,yes,no,13-15years,white,no,2.0,,,11.104,west
yes,no,yes,9-11years,white,no,16.5,1.0,0.0,45.0,south
yes,no,yes,16years,,no,24.0,0.0,2.0,0.0,west
yes,no,yes,16years,white,no,29.0,0.0,0.0,99.999,other
yes,no,yes,12years,,no,21.0,0.0,3.0,36.0,northcentral
no,yes,no,13-15years,white,no,13.0,0.0,0.0,0.0,other
no,no,no,12years,white,no,23.0,0.0,3.0,0.0,other
yes,no,yes,12years,white,no,38.0,0.0,0.0,35.0,south
yes,no,yes,12years,white,no,32.0,0.0,0.0,65.0,other
no,yes,no,13-15years,white,no,10.0,0.0,3.0,0.0,south
yes,no,yes,13-15years,,no,22.0,0.0,2.0,83.0,south
no,yes,yes,16years,white,no,5.0,0.0,0.0,36.0,northcentral
no,no,no,<9years,white,no,45.0,0.0,0.0,0.0,south
yes,no,yes,13-15years,white,yes,34.0,0.0,0.0,1.8,west
yes,no,yes,13-15years,white,no,26.0,0.0,1.0,0.0,west
no,no,yes,9-11years,white,no,32.5,0.0,0.0,5.0,west
no,no,no,12years,white,no,15.0,1.0,1.0,29.0,northcentral
no,yes,no,12years,white,no,35.0,0.0,0.0,8.5,south
no,yes,no,13-15years,white,no,7.0,0.0,0.0,16.5,other
no,no,no,12years,white,no,12.0,0.0,2.0,9.039,south
yes,no,yes,16years,white,no,5.0,0.0,0.0,40.0,south
no,yes,yes,16years,white,no,24.0,0.0,0.0,22.0,south
no,no,no,12years,white,no,22.0,0.0,1.0,0.0,other
no,yes,no,13-15years,black,no,4.0,1.0,0.0,16.5,south
yes,no,yes,12years,white,no,17.0,0.0,3.0,36.944,northcentral
yes,no,yes,12years,white,no,35.0,0.0,0.0,53.0,south
no,yes,no,12years,white,no,23.0,0.0,2.0,22.0,south
no,no,no,12years,white,no,38.0,0.0,0.0,0.0,south
yes,no,yes,13-15years,white,no,35.0,0.0,2.0,50.0,west
yes,yes,yes,>16years,white,no,34.0,0.0,0.0,35.884,northcentral
yes,no,yes,13-15years,white,no,16.0,,,18.0,west
no,yes,no,12years,white,no,23.0,0.0,2.0,10.0,other
yes,no,yes,>16years,,no,12.0,1.0,0.0,38.0,west
yes,no,yes,16years,white,no,18.0,0.0,2.0,44.0,northcentral
no,no,no,13-15years,white,no,26.0,0.0,0.0,32.6,south
yes,no,yes,12years,white,no,43.0,,,51.5,south
yes,no,yes,16years,white,no,14.0,0.0,2.0,50.0,west
no,no,no,9-11years,white,no,25.5,1.0,2.0,0.0,south
no,no,no,12years,white,no,22.0,0.0,2.0,0.0,south
no,no,no,9-11years,white,no,23.5,0.0,1.0,0.0,northcentral
yes,no,yes,12years,white,no,20.0,2.0,1.0,53.0,other
